Nom,Adreça,Districte,Barri,Codi Postal,Telèfon,Telèfon 2,Latitud,Longitud,Web
Bar Restaurant Habana Barcelona,Carrer Escar 1,Ciutat Vella,la Barceloneta,08039,+34 932250263,+34 932214467,41.37539852222222,2.18853675,http://www.habanabarcelona.com
Restaurant Free & Fresh,Carrer Balmes 193,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,08006,+34 934156224,,41.39700243055555,2.1522896666666664,
Bar Pinocho,la Rambla 101,Ciutat Vella,el Raval,08002,+34 933171731,,41.38267368611111,2.171678722222222,
Col·legi d'Arquitectes de Catalunya,Plaça Nova 5,Ciutat Vella,el Barri Gòtic,08002,+34 933067850,+34 933015000,41.38444698611111,2.175041361111111,
Bar Glüh,Verdaguer i Callís 6,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",08003,,,41.38692916666667,2.1761466388888886,
Bar Mandarina,Diputació 157,Eixample,l'Antiga Esquerra de l'Eixample,08011,+34 933233393,,41.38415379722222,2.158560222222222,
Bar Restaurant El Último Agave,Carrer Aragó 193,Eixample,l'Antiga Esquerra de l'Eixample,08011,+34 934549343,,41.38786373055556,2.1588890277777777,http://www.elultimoagave.com
Restaurant Candela Raval,Carrer Hospital 48,Ciutat Vella,el Raval,08001,+34 933010813,,41.38072328888889,2.1711486944444442,http://www.candelaraval.com
Hotel Claris,Carrer Pau Claris 150,Eixample,la Dreta de l'Eixample,08009,+34 934874647,+34 934876262,41.39445991388889,2.165013194444444,http://www.derbyhotels.es
Restaurant Japonès Misaki,Carrer Aribau 40,Eixample,l'Antiga Esquerra de l'Eixample,08011,+34 934513393,,41.38759699444444,2.1605608333333333,
Restaurant La Locanda,Carrer Doctor Joaquim Pou 4,Ciutat Vella,el Barri Gòtic,08002,+34 933174609,,41.38595585,2.1755125555555552,http://www.restaurantelalocanda.com
Gran Hotel Havana Barcelona,Gran Via Corts Catalanes 647,Eixample,la Dreta de l'Eixample,08010,+34 934121115,+34 934122611,41.39270169444445,2.1721956944444445,http://www.grandhotelhavana.com
Restaurant Fresc Co *Av Diagonal/Muntaner,Avinguda Diagonal 449,Eixample,l'Antiga Esquerra de l'Eixample,08036,+34 934106106,+34 933016837,41.39360134166667,2.1489241666666667,http://www.frescco.com
Restaurant Xinès Hecheng,Entença 12,Eixample,Sant Antoni,08015,+34 933252349,,41.375703025,2.155971611111111,
Restaurant Eterna,Carrer Consell de Cent 127-129,Eixample,la Nova Esquerra de l'Eixample,08015,+34 93 424 2526,+34 93 423 5075,41.38174175555556,2.1528230833333333,http://www.restauranteeterna.com
Restaurant Kailash,Carrer Xifré 100,Sant Martí,el Camp de l'Arpa del Clot,08026,+34 934330766,,41.41133651944444,2.1804401388888888,
Free Girls,Marià Cubí 4,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,08006,+34 932172296,,41.39936953055555,2.151432388888889,
Bulería Café-bar,Aribau 66,Eixample,l'Antiga Esquerra de l'Eixample,08011,+34 934531019,,41.38879096944444,2.158984611111111,
Restaurant Can Cargol,Carrer València 324,Eixample,la Dreta de l'Eixample,08009,+34 934589631,+34 934580017,41.39548459444445,2.167451972222222,
Restaurant Hisop,Passatge Marimon 9,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,08021,+34 932413233,,41.39445760833333,2.1480123333333334,http://www.hisop.com
Cafè Just,Sots-tinent Navarro 18,Ciutat Vella,el Barri Gòtic,08002,+34 933106456,,41.38267685277778,2.1796073333333332,
Restaurant Can Seixanta *Pau Claris,Carrer Pau Claris 128,Eixample,la Dreta de l'Eixample,08009,+34 934879581,,41.39298624166667,2.1669573055555555,
Restaurant Tívoli Tercer Mil·lenni,Carrer Rector Ubach 25*27,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,08021,+34 932090381,+34 932001304,41.39807938888889,2.1436165,http://www.tivoli-bcn.com
Bar Imagine,Aribau 153,Eixample,l'Antiga Esquerra de l'Eixample,08036,+34 933225390,,41.392690277777774,2.1534565,
Bar Prelude,Provença 277,Eixample,la Dreta de l'Eixample,08037,+34 934879445,,41.39613634166667,2.1631571944444445,
Restaurant Litoral,Pescadors 87,Ciutat Vella,la Barceloneta,08003,+34 932212209,+34 932214812,41.376059347222224,2.1900202777777777,
Restaurant Bona Tapa,Passeig Fabra i Puig 148,Nou Barris,Porta,08016,+34 933491372,,41.43035123888889,2.180571361111111,
New Orleans Coffe & Tea Company,Passeig Fabra i Puig 276,Nou Barris,el Turó de la Peira,08031,+34 933577957,,41.430457141666665,2.1732158611111108,
Restaurant Melton,Carrer Muntaner 189 bxs,Eixample,l'Antiga Esquerra de l'Eixample,08036,+34 933632776,,41.392861583333335,2.1509643888888887,http://www.restauran-melton.com
Cafeteria Restaurant Zelig,Carrer Carme 116,Ciutat Vella,el Raval,08001,+34 934415622,,41.37976693888889,2.166256722222222,
Bar McDonald's *Maremàgnum,Moll Espanya 5*6,Ciutat Vella,el Barri Gòtic,08039,+34 932258195,,41.37573091111111,2.1832132777777775,http://www.mcdonalds.es
Restaurant Grill-Braseria,Moll Espanya 5*6,Ciutat Vella,el Barri Gòtic,08039,,,41.37573091111111,2.1832132777777775,
Bar Nit i Dia *Maremàgnum,Moll Espanya 5*6,Ciutat Vella,el Barri Gòtic,08039,+34 932258001,,41.37573091111111,2.1832132777777775,
Bar restaurant Berlín,Muntaner 242,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,08021,+34 932006542,,41.394329347222225,2.149497361111111,
Restaurant El Comedor,Carrer Palau 6,Ciutat Vella,el Barri Gòtic,08002,+34 933175405,,41.38110431388889,2.1781321666666664,
Restaurant Polenta,Carrer Ample 51,Ciutat Vella,el Barri Gòtic,08002,+34 932681429,,41.381238269444445,2.1805003333333333,
Bar Jupiter,Jupí 4,Ciutat Vella,el Barri Gòtic,08002,+34 932683650,,41.382098825,2.18008325,
Bar Restaurant L'Hostal de la Bona Sort,Carrer Carders 12,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",08003,+34 933105460,,41.38608679722222,2.1802485833333334,
Restaurant Lizarran *Sardenya,Carrer Sardenya 324,Eixample,la Sagrada Família,08025,+34 934462003,+34 934368707,41.40382598611111,2.172937138888889,http://www.grupolizarran.com
Restaurant Coure,Passatge Marimon 20 bxs,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,08021,+34 932007532,,41.39440351388889,2.147880222222222,
Restaurant Farga *Beethoven,Carrer Beethoven 11,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,08021,+34 932402044,+34 934146519,41.39308124722222,2.1405547222222223,
Restaurant Asador de Aranda *Pau Claris,Carrer Pau Claris 70,Eixample,la Dreta de l'Eixample,08010,+34 933425577,+34 933425578,41.38921386388889,2.171962388888889,
Restaurant Foster's Hollywood *Pg M Girona,Passeig Manuel Girona 38*LB,Les Corts,Pedralbes,08034,+34 932806153,+34 932060174,41.390579880555556,2.123404777777778,http://www.fostershollywood.es
Restaurant Foster's Hollywood *La Maquinista,Passeig Potosí 2,Sant Andreu,el Bon Pastor,08030,+34 933608851,+34 933608852,41.442532125,2.198353,http://www.fostershollywood.es
Restaurant Foster's Hollywood *Heron City,Avinguda Rio de Janeiro 42,Nou Barris,Porta,08016,+34 932761954,+34 932761962,41.43509441944444,2.1810243333333332,http://www.fostershollywood.es
Bar Restaurant La Tasqueta,Pallars 243,Sant Martí,el Poblenou,08005,+34 933075901,,41.40296381388889,2.200019611111111,
Bar Restaurant Pita Inn *Heron City,Avinguda Rio de Janeiro 42,Nou Barris,Porta,08016,+34 933010037,,41.43509441944444,2.1810243333333332,
Restaurant Bar Musical Imprevist,Carrer Ferlandina 34,Ciutat Vella,el Raval,08001,+34 933425859,,41.38169648888889,2.1645231944444445,http://www.imprevist.es
Bar Restaurant Japonès Machiroku,Carrer Moles 21,Ciutat Vella,el Barri Gòtic,08002,+34 934126082,,41.38717027777778,2.1729170555555553,
Bar cafeteria Il Caffè di Roma *Heron City,Avinguda Rio de Janeiro 42,Nou Barris,Porta,08016,+34 932765126,,41.43509441944444,2.1810243333333332,
Restaurant Rodilla *Diagonal Mar,Avinguda Diagonal 3,Sant Martí,Poble Nou,08019,+34 933560413,+34 933562403,41.41097503333333,2.2185804444444446,
Restaurant Little Italy *Av Marques de L'Argentera,Avinguda Marquès de l'Argentera 19,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",08003,+34 932687633,+34 934813071,41.38499712777778,2.185030111111111,
Hotel Saint Moritz,Carrer Diputació 262*264,Eixample,la Dreta de l'Eixample,08007,+34 934121500,+34 934121236,41.39093758333333,2.1679429999999997,http://www.hcchotels.com
Bar Ca la Lluisa *Diagonal Mar,Avinguda Diagonal 3,Sant Martí,Poble Nou,08019,+34 935525617,+34 935525618,41.41097503333333,2.2185804444444446,
Restaurant El Racó d'en José Luis II,Carrer Salvador Espriu 61,Sant Martí,la Vila Olímpica del Poblenou,08005,+34 932211122,+34 902104143,41.390896519444446,2.1978509444444443,http://www.accua.com
Da Geppetto,Rambla Poblenou 27,Sant Martí,el Poblenou,08005,+34 932254018,,41.39898908333333,2.2035011944444447,
Club Natació Atlètic - Barceloneta,Plaça Mar 1,Ciutat Vella,la Barceloneta,08003,+34 932210387,,41.375434713888886,2.1898365833333333,
Restaurant Taberna Abasolo Etxea,Carrer Marià Cubí 190,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,08021,+34 932004877,+34 932092422,41.39488239722222,2.1438170833333334,http://www.abasoloetxea.com
Bar Berlin,Muntaner 240,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,08021,+34 932006542,,41.394329347222225,2.149497361111111,
Bar Restaurant On,Sant Domènec del Call 14,Ciutat Vella,el Barri Gòtic,08002,,,41.382895425,2.1754921388888886,
Restaurant Biblioteca,Carrer Junta de Comerç 28,Ciutat Vella,el Raval,08001,+34 934126221,,41.37923755833334,2.1719045555555554,
Bar musical Fritz Mar,Passeig Marítim Barceloneta 34,Ciutat Vella,la Barceloneta,08005,+34 932217765,+34 934146990,41.383444583333336,2.1954624444444444,
Hotel Rívoli Rambla,Carrer la Rambla 128,Ciutat Vella,el Barri Gòtic,08002,+34 934817676,+34 933175053,41.38428501666667,2.1711567777777776,
Hotel Barcelona Hilton,Avinguda Diagonal 589*591,Les Corts,les Corts,08014,+34 934957777,+34 934957700,41.38889217222222,2.131376027777778,
Bar Restaurant L'Explendid,Carrer Aribau 254,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,08006,+34 932008877,,41.39647592777778,2.14893075,
Restaurant Bar Ra,Plaça Gardunya 1,Ciutat Vella,el Raval,08001,+34 933014163,+34 933016132,41.381770933333335,2.1706049166666666,
Restaurant Embat,Carrer Mallorca 304,Eixample,la Dreta de l'Eixample,08037,+34 934580855,,41.397031572222225,2.1669864444444444,
Base Nàutica Municipal de la Mar Bella,Platja Bogatell,Sant Martí,Poble Nou,08005,+34 932210432,,40.64370160833333,1.8165979444444444,
Reial Cercle Artístic - Institut Barcelonès d'Art,Carrer Arcs 5,Ciutat Vella,el Barri Gòtic,08002,+34 933015937,,41.38453696111111,2.174494388888889,
Cafeteria Café & Té *La Maquinista,Passeig Potosí 2,Sant Andreu,el Bon Pastor,08030,+34 933608105,,41.442532125,2.198353,http://www.cafeandte.com
Natural Blend *La Maquinista,Passeig Potosí 2,Sant Andreu,el Bon Pastor,08030,+34 933608145,,41.442532125,2.198353,
Vilaplana *La Maquinista,Passeig Potosí 2,Sant Andreu,el Bon Pastor,08030,,,41.442532125,2.198353,
Dunkin Donuts *La Maquinista,Passeig Potosí 2,Sant Andreu,el Bon Pastor,08030,+34 933608767,,41.442532125,2.198353,http://www.dunkindonuts.com
Jamaica Coffee Shop *La Maquinista,Passeig Potosí 2 bxs B,Sant Andreu,el Bon Pastor,08030,+34 933608729,,41.44077756666666,2.198467194444444,http://www.jamaicacoffeeshop.es
Cafeteria Cafe Quijano *La Maquinista,Passeig Potosí 2,Sant Andreu,el Bon Pastor,08030,+34 933608741,,41.442532125,2.198353,
Restaurant Bazaar *La Maquinista,Passeig Potosí 2,Sant Andreu,el Bon Pastor,08030,+34 933608350,,41.442532125,2.198353,
Restaurant Taverna Sagardi-Euskal *La Maquinista,Passeig Potosí 2,Sant Andreu,el Bon Pastor,08030,+34 933608115,+34 933435411,41.442532125,2.198353,http://www.sagardi.com
Res. Pastafiore *La Maquinista,Passeig Potosí 2,Sant Andreu,el Bon Pastor,08030,+34 933608097,,41.442532125,2.198353,
Restaurant Pitamanía *La Maquinista,Passeig Potosí 2,Sant Andreu,el Bon Pastor,08030,+34 933608864,,41.442532125,2.198353,
Cerveseria Restaurant Gambrinus *La Maquinista,Passeig Potosí 2,Sant Andreu,el Bon Pastor,08030,+34 933608219,,41.442532125,2.198353,
Restaurant Lizarran *La Maquinista,Passeig Potosí 2,Sant Andreu,el Bon Pastor,08030,+34 933608941,+34 902400046,41.442532125,2.198353,
Restaurant TapasBar *La Maquinista,Passeig Potosí 2,Sant Andreu,el Bon Pastor,08030,+34 933608879,,41.442532125,2.198353,http://www.tapasbar.es
Restaurant La Granja *La Maquinista,Passeig Potosí 2,Sant Andreu,el Bon Pastor,08030,+34 933608186,,41.442532125,2.198353,
Restaurant Cantina Mariachi *La Maquinista,Passeig Potosí 2,Sant Andreu,el Bon Pastor,08030,+34 933608346,,41.442532125,2.198353,http://www.cantina-mariachi.com
Cerveseria Restaurant El Fraile *La Maquinista,Passeig Potosí 2,Sant Andreu,el Bon Pastor,08030,+34 933608944,+34 932213481,41.442532125,2.198353,http://www.elfraile.net
Restaurant Trattoria Ginos *La Maquinista,Passeig Potosí 2,Sant Andreu,el Bon Pastor,08030,+34 933608123,+34 902423423,41.442532125,2.198353,http://www.grupovips.com
Bar Burger King *La Maquinista,Passeig Potosí 2,Sant Andreu,el Bon Pastor,08030,,,41.442532125,2.198353,
Bar McDonald's *La Maquinista,Passeig Potosí 2,Sant Andreu,el Bon Pastor,08030,+34 933608732,,41.442532125,2.198353,
Bar Pans & Company *La Maquinista,Passeig Potosí 2,Sant Andreu,el Bon Pastor,08030,+34 933608040,,41.442532125,2.198353,http://www.pansandcompany.com
Happy Crack *La Maquinista,Passeig Potosí 2,Sant Andreu,el Bon Pastor,08030,,,41.442532125,2.198353,
Restaurant La Lluna,Carrerro Sant Bonaventura 5,Ciutat Vella,el Barri Gòtic,08002,+34 933424479,,41.38519257222222,2.1717846666666665,http://www.lallunarestaurant.com
Bar Terra,Pujades 64,Sant Martí,el Parc i la Llacuna del Poblenou,08005,+34 932322486,,41.394723633333335,2.1919009999999997,
Hotel Intercontinental Princesa Sofía Barcelona,Plaça Pius XII 4,Les Corts,la Maternitat i Sant Ramon,08034,+34 935081010,+34 933302154,41.38652906944444,2.1231086944444444,http://www.expogrupo.com
Restaurant Sugar Club *World Trade Center,Moll Barcelona 1,Ciutat Vella,el Raval,08039,+34 902888115,+34 932289721,41.371059611111114,2.1823455833333334,http://www.sugarclub-barcelona.com
Bar Restaurant O'Carballo,Travessera Gràcia 252,Gràcia,el Camp d'en Grassot i Gràcia Nova,08025,+34 934574197,,41.40547245,2.1646219444444443,
Bar Restaurant Xiscarexantar,Pere IV 59 Baix,Sant Martí,el Parc i la Llacuna del Poblenou,08018,+34 934855862,,41.396266097222224,2.1922189444444444,
Restaurant Txalaparta,Carrer Sants 146*152,Sants-Montjuïc,Sants,08028,+34 934092019,+34 934902973,41.37554660833333,2.133652861111111,http://www.restaurantetxalaparta.com
Restaurant Alta Taberna Paco Meralgo,Carrer Muntaner 171,Eixample,l'Antiga Esquerra de l'Eixample,08036,+34 934309027,+34 933221507,41.391713527777775,2.1524825,http://www.pacomeralgo.com
Restaurant de Tapa Madre,Carrer Mallorca 301 bxs,Eixample,la Dreta de l'Eixample,08037,+34 934593134,+34 934572861,41.39694865,2.166505972222222,http://www.detapamadre.com
Restaurant Carmelitas,Carrer Carme 42,Ciutat Vella,el Raval,08001,+34 934124684,+34 933426751,41.38181298888889,2.1693390555555556,http://www.carmelitas.biz
Restaurant Torre d'Altamar,Passeig J Borbó Comte Barcelona 88,Ciutat Vella,la Barceloneta,08039,+34 932210007,+34 932210090,41.37314246111111,2.1879252777777776,http://www.torredealtamar.com
Centre Garcilaso,Carrer Garcilaso 103,Sant Andreu,la Sagrera,08027,+34 932562959,+34 932431710,41.422605125,2.1862141666666663,
Cafeteria The Bagel Shop,Plaça Vila de Gràcia 8,Gràcia,Gràcia,08012,+34 932176101,,41.40042602222222,2.1577265555555556,
Gran Casino de Barcelona,Carrer Marina 19*21,Ciutat Vella,la Barceloneta,08005,+34 932257878,+34 932252182,41.38708262222222,2.1965545,
Bar Restaurant Arrel del Born,Carrer Fusina 5,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",08003,+34 933199299,,41.38636758888889,2.1830243055555556,http://www.arreldelborn.com
Bar Restaurant Cros Diagonal,Avinguda Diagonal 433,Eixample,l'Antiga Esquerra de l'Eixample,08036,+34 934143748,+34 932094332,41.39419608888889,2.1512805555555556,
Restaurant La Vinya del Senyor *Avinguda Sarrià,Avinguda Sarrià 15 bxs,Eixample,la Nova Esquerra de l'Eixample,08029,+34 934102511,,41.389872269444446,2.146914111111111,
Pizza Sapri *Gal.lileu,Galileu 326,Les Corts,les Corts,08028,+34 933222040,+34 902100796,41.38615653888889,2.1312494444444443,http://www.pizzasapri.com
Restaurant Las Fiestas del Convento,Carrer Jerusalem 3 P R AL04,Ciutat Vella,el Raval,08001,+34 933022432,+34 609052350,41.38112295,2.1715035277777774,http://www.sebastiangroup.com
Cerveseria Restaurant Can Xapata,Carrer Casanova 213,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,08021,+34 932402184,,41.39420846944444,2.1469185,http://www.can-xapata.com
Restaurant Japonès Prosperity Sushi,Carrer València 240,Eixample,l'Antiga Esquerra de l'Eixample,08007,+34 934516228,,41.390482399999996,2.1605586666666667,
Restaurant La Polpa,Carrer Enric Granados 69,Eixample,l'Antiga Esquerra de l'Eixample,08008,+34 933238308,,41.391198869444445,2.1576870277777775,
Restaurant Xinés Memorias de China,Carrer Lincoln 17,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,08006,+34 934157602,+34 932183304,41.400446655555555,2.149914361111111,http://www.memoriasdechina.es
Restaurant El Rovell del Born,Carrer Argenteria 6,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",08003,+34 932690458,,41.38363045,2.1801911111111107,
Café Restaurant L'Appart,Carrer Pelai 9,Eixample,la Dreta de l'Eixample,08001,+34 933176673,,41.38585456388889,2.166529611111111,
Restaurant La General de Tartas,Passeig Bonanova 56,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,08017,+34 932123302,,41.403305394444445,2.1272723055555556,
Restaurant Japonès Sumo *Centre de la Vila,Carrer Salvador Espriu 61,Sant Martí,la Vila Olímpica del Poblenou,08005,+34 932219847,,41.390896519444446,2.1978509444444443,
Restaurant Japonès Sumo *Diagonal Mar,Avinguda Diagonal 3,Sant Martí,Poble Nou,08019,+34 933562327,,41.41042665833333,2.2164054444444448,
Restaurant Chido One,Carrer Torrijos 30,Gràcia,la Vila de Gràcia,08012,+34 932850335,+34 932371531,41.40326995555555,2.1590226388888887,http://www.chidoone.com
Bar Restaurant 12+1 Deport Restaurant,Arquitecte Sert 17*19,Sant Martí,la Vila Olímpica del Poblenou,08005,+34 932219752,,41.390896519444446,2.1978509444444443,http://www.12mas1.com
Cerveseria Restaurant Vildsvin,Carrer Ferran 38,Ciutat Vella,el Barri Gòtic,08002,+34 933179455,,41.381973994444444,2.17633375,
Xiringuito Splashh,Platja Barceloneta 100*LP,Ciutat Vella,Barceloneta,08003,,,41.37586967777778,2.1911498055555554,
Bar El 24,Ferran 24,Ciutat Vella,el Barri Gòtic,08002,+34 933020986,,41.38120663888889,2.175372583333333,
Restaurant Va de Vi,Banys Vells 16,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",08003,+34 933192900,,41.38419725,2.1811459166666665,
Museu d'Història de Catalunya,Plaça Pau Vila 3,Ciutat Vella,la Barceloneta,08039,+34 932210050,,41.3808077,2.185855722222222,
Restaurant Self-service Polimenú*La Cup,Carrer Jordi Girona 1-3,Les Corts,Pedralbes,08034,+34 934017107,+34 932044020,41.38991789166666,2.115375111111111,http://www.restaurantenotable.com
Restaurant Notable *La Cup,Carrer Jordi Girona 3*5,Les Corts,Pedralbes,08034,+34 934017107,+34 932044020,41.387871077777774,2.114651777777778,http://www.restaurantenotable.com
Restaurant Els Pollos de Llull *Ramon Turró,Carrer Ramon Turró 13,Sant Martí,la Vila Olímpica del Poblenou,08005,+34 932213206,+34 607350289,41.39104871666667,2.190924222222222,http://www.elspollos.com
Bar La Confiteria,Sant Pau 128,Ciutat Vella,el Raval,08001,+34 93 443 0458,,41.37548766111111,2.1679224166666664,
Abba Sants Hotel,Carrer Numància 32,Sants-Montjuïc,Sants,08029,+34 936003131,+34 936003101,41.38256868055556,2.140019166666667,http://www.abbahoteles.com
Centro Riojano de Barcelona,Peu de la Creu 8*10,Ciutat Vella,el Raval,08001,+34 934430854,+34 934423827,41.38147130833333,2.1673136666666664,
Restaurant Ugarit Bruniquer,Carrer Bruniquer 37,Gràcia,la Vila de Gràcia,08024,+34 932841214,,41.40514408333333,2.161355611111111,http://www.ugaritrestaurantsirio.com
Restaurant Baravins,Carrer Comte d'Urgell 196,Eixample,l'Antiga Esquerra de l'Eixample,08036,+34 934515172,,41.38799417777778,2.151068638888889,
Restaurant Las Guindas,Carrer Sant Pau 126,Ciutat Vella,el Raval,08001,,,41.375554372222226,2.168013722222222,
Restaurant Gran Babilonia,Carrer Santaló 125,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,08021,+34 932010904,+34 934142195,41.39921979166667,2.1411856666666664,
Fàbrica de Creació Ateneu Popular 9 Barris,Carrer Portlligat 11-15,Nou Barris,la Trinitat Nova,08042,+34 932761187,+34 933503000,41.44960580833333,2.1789486666666664,http://www.ateneu9b.net
Restaurant Semon *Sta Fe Nou Mèxic,Carrer Santa Fe de Nou Mèxic 15,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,08017,+34 932015507,,41.39443801944444,2.1372096666666667,
Llibreria Casa del Libro *Passeig Gràcia,Passeig Gràcia 62,Eixample,la Dreta de l'Eixample,08007,+34 932723480,+34 934871426,41.392924102777776,2.1644761666666668,
Cafeteria  Restaurant Living Bar,Carrerapellans 9,Ciutat Vella,el Barri Gòtic,08002,+34 934121370,,41.38526237222222,2.1744239999999997,
Restaurant Luna de Estambul,Avinguda Roma 110,Eixample,la Nova Esquerra de l'Eixample,08015,+34 933232565,,41.384356555555556,2.1527771388888888,
Restaurant Tapas *Poble Espanyol,Avinguda Francesc Ferrer Guàrdia 13*27,Sants-Montjuïc,el Poble-sec,08038,+34 933257746,,41.369117261111114,2.1467245833333335,
Restaurant Bell Amic,Carrer Gignàs 25,Ciutat Vella,el Barri Gòtic,08002,+34 933151259,,41.38151735277778,2.1802831388888886,
Restaurant Frankfurt de l'Olla,Carrer Torrent de l'Olla 111,Gràcia,la Vila de Gràcia,08012,+34 932372174,,41.402389774999996,2.156769222222222,
El Cafè de Ferran,Ferran 59,Ciutat Vella,el Barri Gòtic,08002,+34 933021076,,41.382338394444446,2.176605611111111,
Bar Castells,Plaça Bonsuccés 0001,Ciutat Vella,el Raval,08001,+34 933021054,,41.384119008333336,2.1697938333333333,
Mirador Barcelona Restaurant El Cordero,Riudecanyes 5,Nou Barris,Torre Baró,08033,+34 933533419,+34 933530701,41.45258513888889,2.1792986666666665,
Restaurant Marisqueria Las 5 Villas,Rda General Mitre 1 Baix,Sarrià-Sant Gervasi,les Tres Torres,08017,+34 932802858,+34 932805643,41.39303746111111,2.130673888888889,
Bar Restaurant Blat Net *Sitges,Carrer Sitges 6,Ciutat Vella,el Raval,08001,+34 933179925,,41.38432688611111,2.1697629722222223,
Bar Bocatta *Pl Sant Jaume,Plaça Sant Jaume 6,Ciutat Vella,el Barri Gòtic,08002,+34 933151606,,41.382959622222224,2.1772279166666664,http://www.bocatta.es
Bar Restaurant La Perla *Numáncia,Numància 66,Les Corts,les Corts,08029,+34 934305017,,41.38429909166667,2.1382555555555554,
Restaurant La Torreta de Sarrià,Carrertra Sarrià a Vallvidrera 82,Sarrià-Sant Gervasi,Sarrià,08017,+34 932805630,,41.40865347222222,2.1099690833333336,
Sweet Gaufre,Carrer la Rambla 83,Ciutat Vella,el Raval,08002,+34 933026960,,41.381531716666665,2.1726858055555556,
Bar Restaurant A Canteira,Passeig Sant Joan 159,Gràcia,el Camp d'en Grassot i Gràcia Nova,08037,+34 934588486,,41.40220458333333,2.165419527777778,
Bar Bus Exprés,Avinguda Meridiana 408*410,Sant Andreu,Sant Andreu,08030,+34 933450206,,41.431663066666665,2.1835384166666665,
Restaurant La Taverna de Santa Maria,Carrer Abaixadors 10 bxs 3a,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",08003,+34 933103096,,41.38310671388889,2.1811898888888885,
Restaurant Ca La Monyos,Carrer Muntaner 18,Eixample,l'Antiga Esquerra de l'Eixample,08011,+34 934545358,,41.385050505555554,2.161671333333333,
Restaurant Can Tornem-hi,Avinguda Exèrcit 8*10,Les Corts,Pedralbes,08034,+34 932804814,,41.386211877777775,2.112228638888889,
Restaurant All i Oli,Alella 3,Nou Barris,Porta,08016,+34 934083542,,41.43137043333333,2.1812246388888887,http://www.rbmesa.com/allioli.htm
Restaurant Sal i Pebre,Alfambra 14,Les Corts,Pedralbes,08034,+34 932053658,,41.386552183333336,2.112660388888889,
Restaurant Triton,Alfambra 16,Les Corts,Pedralbes,08034,+34 932033085,+34 932044190,41.38667828055556,2.1126066666666667,http://www.rbmesa.com/triton.htm
Bar  Aptc,Carrer Alí Bei 43,Eixample,el Fort Pienc,08010,+34 932313058,,41.392953741666666,2.1798293055555553,
Bar Restaurant Paco Alcalde,Carrer Almirall Aixada 12,Ciutat Vella,la Barceloneta,08003,+34 932215026,+34 932214597,41.377319675,2.1897478055555553,http://www.pacoalcalde-restaurante.com
Bar Restaurant Ancora,Carrer Almirall Cervera 2,Ciutat Vella,la Barceloneta,08003,+34 932215062,,41.37801235,2.1884919166666665,
Bar Restaurant Salamanca,Carrer Almirall Cervera 27,Ciutat Vella,la Barceloneta,08003,+34 932216616,+34 932215033,41.37869370833334,2.1907221666666663,http://www.gruposilvestre.com
Restaurant Salamanca,Carrer Almirall Cervera 34,Ciutat Vella,la Barceloneta,08003,+34 932215033,+34 932255156,41.37860735277778,2.191201583333333,http://www.gruposilvestre.com
Restaurant Monguzan,Carrer Almogàvers 191,Sant Martí,el Parc i la Llacuna del Poblenou,08018,+34 933007418,,41.40074077222222,2.1946453611111107,
Bodega Costa Brava,Carrer Alzina 58,Gràcia,la Vila de Gràcia,08024,+34 934592210,,41.407795602777774,2.15520625,
Restaurant Tastavins - Bodega Brugal,Morales 30,Les Corts,les Corts,08029,+34 934301344,,41.38824334722222,2.140496222222222,
Restaurant Mercè Vins,Carrer n'Amargós 1,Ciutat Vella,el Barri Gòtic,08002,+34 933026056,,41.385930530555555,2.1742766666666666,
Bar Restaurant El Pati,Carrer n'Amargós 13,Ciutat Vella,el Barri Gòtic,08002,+34 933020036,,41.386362572222225,2.174097944444444,
Café Loyola,Amigó 0044,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,08021,+34 932099729,,41.395630491666665,2.1441989444444443,
Restaurant Mariona,Carrer Amigó 53,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,08021,+34 932011830,+34 932045653,41.39596736111111,2.1434695,http://www.marionarestaurant.com
Bar Restaurant Panchito *Amigo,Carrer Amigó 57,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,08021,+34 932022131,,41.39617313888889,2.1432106388888887,http://www.panchito.com
